Unnamed: 0,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL
350,Layla Miller,Layla Miller,Layla Rose Miller-Madrox,Female ,Widowed,Good ,67,132.0,Green ,Blond,Heterosexual,"Hell's Kitchen, New York City, New York",American,Elementary school education,"Formerly detective, adventurer, resistance fighter, file clerk, student",4,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Layla_Miller_%28Earth-616%29_from_X-Factor_Vol_1_240_001.jpg/revision/latest/scale-to-width-down/324?cb=20191209022506,"X-Factor Investigations Headquarters, New York City, New York",https://marvel.fandom.com/wiki/Layla_Miller_(Earth-616),https://marvel.fandom.com/wiki/Layla_Miller_(Earth-616)#Powers_and_Abilities
351,Leland Owlsley,Owl,Leland Owlsley,Male ,Divorced,Bad ,71,220.0,Blue ,Brown,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Professional criminal, crimelord, former financier",2,2,3,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/6/65/Leland_Owlsley_%28Earth-616%29_from_Daredevil_Vol_4_13_001.jpg/revision/latest/scale-to-width-down/325?cb=20150228052056,"San Francisco, California",https://marvel.fandom.com/wiki/Leland_Owlsley_(Earth-616),https://marvel.fandom.com/wiki/Leland_Owlsley_(Earth-616)#Powers_and_Abilities
352,Karl Lykos,Sauron,Karl Lykos,Male ,Widowed,Bad ,69,170.0,Brown ,Brown,Heterosexual,"Tierra del Fuego, Argentina","Savage Lander, Argentina",PH.D. in hypnotherapy,Science Professor; Psychiatrist,3,9,5,7,10,3,https://static.wikia.nocookie.net/marveldatabase/images/2/2d/Karl_Lykos_%28Earth-616%29_from_Marvel_Masterpieces_%28Trading_Cards%29_1995_Series_0001.jpg/revision/latest/scale-to-width-down/350?cb=20070509205946,"Savage Land, Antarctica",https://marvel.fandom.com/wiki/Karl_Lykos_(Earth-616),https://marvel.fandom.com/wiki/Karl_Lykos_(Earth-616)#Powers_and_Abilities
353,Jason Macendale Jr.,Hobgoblin,"Jason Philip Macendale, Jr.",Male ,Divorced,Bad ,73,210.0,Brown ,Black,Heterosexual,"Boston, Massachusetts",American,Homeschooled,"Freelance terrorist, assassin, mercenary",4,4,3,4,3,4,https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Jason_Macendale_Jr._%28Earth-616%29_from_Clone_Conspiracy_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/350?cb=20200328192348,Mobile,https://marvel.fandom.com/wiki/Jason_Macendale_Jr._(Earth-616),https://marvel.fandom.com/wiki/Jason_Macendale_Jr._(Earth-616)#Powers_and_Abilities
354,Frigga,All-Mother Freyja,Frigga / Freyja Freyrdottir,Female ,Separated,Good ,71,372.0,Blue ,White,Heterosexual,Presumably Vanaheim,"Vanir, Asgardian",Homeschooled,"All-Mother of Asgard, Queen of Asgard, Queen of the Gods, Norse Goddess of Marriage; former warrior",2,4,2,6,6,2,https://static.wikia.nocookie.net/marveldatabase/images/7/7f/Freyja_Freyrdottir_%28Earth-616%29_from_Mighty_Thor_Vol_3_1_cover_001.jpg/revision/latest/scale-to-width-down/256?cb=20180427083438,Asgard,https://marvel.fandom.com/wiki/Frigga_(Earth-616),https://marvel.fandom.com/wiki/Frigga_(Earth-616)#Powers_and_Abilities
355,Ikaris ,Ikaris,Unknown ,Male ,Widowed,Good ,74,230.0,Blue ,Blond,Heterosexual,"Newark, New Jersey",Olympia,Homeschooled,"Prime Eternal, warrior; former archaeologist's guide, professional wrestler",2,5,12,7,6,6,https://static.wikia.nocookie.net/marveldatabase/images/e/e1/Eternals_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/350?cb=20131115054235,Olympia,https://marvel.fandom.com/wiki/Ikaris_(Eternal)_(Earth-616),https://marvel.fandom.com/wiki/Ikaris_(Eternal)_(Earth-616)#Powers_and_Abilities
356,Sharon Ventura,Ms. Marvel,Sharon Ventura,Female ,Single,Good ,68,135.0,Blue ,Red,Heterosexual,"Pullman, Washington",American,Expelled from Military Academy,"Wrestler; former prisoner, adventurer, wrestler, stuntwoman, scuba diver, motorcycle performer",2,6,2,6,1,4,https://static.wikia.nocookie.net/marveldatabase/images/f/f8/Sharon_Ventura_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_A_to_Z_Vol_1_7_0001.jpg/revision/latest/scale-to-width-down/193?cb=20170414095525,Mobile,https://marvel.fandom.com/wiki/Sharon_Ventura_(Earth-616),https://marvel.fandom.com/wiki/Sharon_Ventura_(Earth-616)#Powers_and_Abilities
357,Nico Minoru,Nico Minoru,Nico Minoru,Female ,Single,Good ,64,102.0,Brown ,Black,Heterosexual,"Los Angeles, California",American,High school dropout,"Adventurer, Magician",2,2,2,2,6,1,https://static.wikia.nocookie.net/marveldatabase/images/5/50/Runaways_Vol_5_28_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20190920080523,"New York City, New York",https://marvel.fandom.com/wiki/Nico_Minoru_(Earth-616),https://marvel.fandom.com/wiki/Nico_Minoru_(Earth-616)#Powers_and_Abilities
358,Clive Reston,Sir Clive Reston,Clive Reston,Male ,Married,Neutral,73,180.0,Blue ,Grey,Heterosexual,"London, England",British,Graduate of Cambridge University where he mastered in Chemistry.,Mercenary; associate of MI13; former agent of British Intelligence ; former investigator for Freelance Restorations,3,2,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/e/ef/Clive_Reston_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_A_to_Z_Update_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/259?cb=20180428023138,"London, England",https://marvel.fandom.com/wiki/Clive_Reston_(Earth-616),https://marvel.fandom.com/wiki/Clive_Reston_(Earth-616)#Powers_and_Abilities
359,Robert Frank,Whizzer,"Robert L. ""Bob"" Frank",Male ,Widowed,Good ,70,180.0,Brown ,Grey,Heterosexual,"St. Louis, Missouri",American,High school graduate,Adventurer,2,4,8,3,1,4,https://static.wikia.nocookie.net/marveldatabase/images/2/24/Robert_Frank_%28Earth-616%29_from_What_If%3F_Vol_1_4_0001.jpg/revision/latest/scale-to-width-down/330?cb=20160422153201,"New York City, New York",https://marvel.fandom.com/wiki/Robert_Frank_(Earth-616),https://marvel.fandom.com/wiki/Robert_Frank_(Earth-616)#Powers_and_Abilities
360,Elizabeth Twoyoungmen,Talisman,Elizabeth Twoyoungmen,Female ,Single,Good ,68,132.0,Brown ,Black,Heterosexual,"Calgary, Alberta, Canada",Canadian,University graduate,"Adventurer, magician; former archaeology student",3,2,10,2,6,3,https://static.wikia.nocookie.net/marveldatabase/images/6/6d/Elizabeth_Twoyoungmen_%28Earth-616%29_from_Amazing_X-Men_Vol_2_9_001.png/revision/latest/scale-to-width-down/251?cb=20140705042213,"Alpha Flight Base Camp, Saint Elias Mountains, Canada",https://marvel.fandom.com/wiki/Elizabeth_Twoyoungmen_(Earth-616),https://marvel.fandom.com/wiki/Elizabeth_Twoyoungmen_(Earth-616)#Powers_and_Abilities
361,Everett Thomas,Synch,Everett Thomas,Male ,Single,Good ,71,165.0,Brown ,Bald,Heterosexual,"St. Louis, Missouri","American, Krakoan",High school level courses at Massachusetts Academy,Adventurer; former student,10,9,9,9,9,9,https://static.wikia.nocookie.net/marveldatabase/images/a/a5/X-Men_Vol_6_1_Stormbreakers_Connecting_Variant_B_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20210428131954,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Everett_Thomas_(Earth-616),https://marvel.fandom.com/wiki/Everett_Thomas_(Earth-616)#Powers_and_Abilities
362,Danger,Danger,Danger Room,Female ,Single,Good ,72,275.0,MultiColored,Bald,Heterosexual,Xavier Institute,Krakoan,Years of analyzing and recording battle tactics employed by the X-Men,"Adventurer; former Warden of X-Brig, villain",7,6,2,6,1,7,https://static.wikia.nocookie.net/marveldatabase/images/5/57/Danger_%28Earth-616%29_from_X-Men_Blue_Vol_1_17_001.png/revision/latest/scale-to-width-down/309?cb=20190422035231,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Danger_(Earth-616),https://marvel.fandom.com/wiki/Danger_(Earth-616)#Powers_and_Abilities
363,Dorrek VIII,Emperor Dorrek VIII,"Dorrek VIII Theodore Rufus ""Teddy"" Kaplan-Altman",Male ,Married,Good ,72,170.0,Blue ,Blond,Homosexual,"Tarnax IV, the Skrull Throneworld","Kree Empire, Skrull Empire, American",High school student,"Emperor; former adventurer, student",2,5,3,6,5,3,https://static.wikia.nocookie.net/marveldatabase/images/8/8f/Lords_of_Empyre_Emperor_Hulkling_Vol_1_1_Vecchio_Variant_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20200703233800,"Wiccan and Hulkling's Apartment, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Dorrek_VIII_(Earth-616),https://marvel.fandom.com/wiki/Dorrek_VIII_(Earth-616)#Powers_and_Abilities
364,Amadeus Cho,Brawn,Amadeus Cho,Male ,Single,Good ,66,117.0,Black ,Black,Heterosexual,"Tucson, Arizona",American,High school dropout; extensively self-educated,"Adventurer, scientist; former student",6,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/5/5b/Amadeus_Cho_%28Earth-616%29_from_Champions_Vol_2_22_cover_001.jpg/revision/latest/scale-to-width-down/308?cb=20180531011726,Champions Mobile Bunker,https://marvel.fandom.com/wiki/Amadeus_Cho_(Earth-616),https://marvel.fandom.com/wiki/Amadeus_Cho_(Earth-616)#Powers_and_Abilities
365,Phillip Masters,Puppet Master,Phillip Masters,Male ,Widowed,Bad ,66,150.0,Brown ,Bald,Heterosexual,Transia,"American, Transian",Homeschooled,Criminal Mastermind; Former Biologist killer,4,2,2,2,4,2,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/Phillip_Masters_%28Earth-616%29_from_Fantastic_Four_Vol_6_12_002.jpg/revision/latest/scale-to-width-down/325?cb=20201123044247,"New York City,New York",https://marvel.fandom.com/wiki/Phillip_Masters_(Earth-616),https://marvel.fandom.com/wiki/Phillip_Masters_(Earth-616)#Powers_and_Abilities
366,Joshua Foley,Elixir,Joshua 'Josh' Foley,Male ,Single,Good ,69,157.0,Blue ,Blond,Heterosexual,"Flushing, Queens, New York City, New York","American, Krakoan","Some high school and telepathically acquired PhD level human anatomy, physiology, and biology","Adventurer; former geneticist, student",4,2,2,2,2,3,https://static.wikia.nocookie.net/marveldatabase/images/4/47/Joshua_Foley_%28Earth-616%29_from_X-Factor_Vol_4_4_005.jpg/revision/latest/scale-to-width-down/345?cb=20201001193816,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Joshua_Foley_(Earth-616),https://marvel.fandom.com/wiki/Joshua_Foley_(Earth-616)#Powers_and_Abilities
367,Karl Mordo,Baron Mordo,Karl Amadeus Mordo,Male ,Single,Bad ,72,250.0,Brown ,Black,Heterosexual,"Castle Mordo, Varf Mandra, Transylvania, Romania",Transylvanian,Studied under the Ancient One,Sorcerer,3,1,10,4,6,3,https://static.wikia.nocookie.net/marveldatabase/images/4/44/Secret_Empire_Vol_1_7_Villain_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20170418160718,"Castle Mordo, Transylvania",https://marvel.fandom.com/wiki/Karl_Mordo_(Earth-616),https://marvel.fandom.com/wiki/Karl_Mordo_(Earth-616)#Powers_and_Abilities
368,William Foster,Goliath,"William Barrett ""Bill"" Foster",Male ,Divorced,Neutral,72,200.0,Brown ,Black,Heterosexual,"Watts, Los Angeles, California",American,"Ph.D. in Biochemistry from Caltech, D.Sc.","Adventurer, biochemist, inventor, research scientist, adventurer; former circus performer, soldier",5,4,2,3,1,3,https://static.wikia.nocookie.net/marveldatabase/images/d/de/William_Foster_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_A_to_Z_Vol_1_4_0001.jpg/revision/latest/scale-to-width-down/240?cb=20200119150201,"New York City, New York",https://marvel.fandom.com/wiki/William_Foster_(Earth-616),https://marvel.fandom.com/wiki/William_Foster_(Earth-616)#Powers_and_Abilities
369,Leiko Wu,Leiko Wu,Leiko Wu,Female ,Separated,Good ,68,133.0,Blue ,Black,Heterosexual,"Hong Kong, China","British, Chinese",British secret service training,"Government agent, crime lord",2,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/5/55/Leiko_Wu_%28Earth-616%29_from_Shang-Chi_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20201101101021,"New York City, New York",https://marvel.fandom.com/wiki/Leiko_Wu_(Earth-616),https://marvel.fandom.com/wiki/Leiko_Wu_(Earth-616)#Powers_and_Abilities
370,Chase Stein,Chase Stein,Victor Chase Stein,Male ,Single,Good ,71,188.0,Blue ,Blond,Heterosexual,"Los Angeles, California",American,High school drop-out,Adventurer; former student,2,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/1/17/Chase_Stein_%28Earth-616%29_from_Runaways_Vol_5_1_Lim_Variant_cover.jpg/revision/latest/scale-to-width-down/329?cb=20200809055236,"New York City, New York",https://marvel.fandom.com/wiki/Chase_Stein_(Earth-616),https://marvel.fandom.com/wiki/Chase_Stein_(Earth-616)#Powers_and_Abilities
371,Louise Grant,Blonde Phantom,Louise Grant-Mason,Female ,Widowed,Good ,62,140.0,Blue ,Blond,Heterosexual,"Hoboken, New Jersey",American,High school graduate,"Former Executive secretary of N.Y.C. D.A. Blake Tower, adventurer",2,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/6/6d/Louise_Grant_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/325?cb=20210413185256,"New York, New York",https://marvel.fandom.com/wiki/Louise_Grant_(Earth-616),https://marvel.fandom.com/wiki/Louise_Grant_(Earth-616)#Powers_and_Abilities
372,Pyreus Kril,Firelord,Pyreus Kril,Male ,Single,Neutral ,76,220.0,White ,Yellow,Heterosexual,"Xandar, Tranta System, Andromeda Galaxy",Xandarian,Homeschooled,"Formerly starship captain, Herald of Galactus",4,5,7,6,6,3,https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Pyreus_Kril_%28Earth-616%29_from_Annihilation_Heralds_of_Galactus_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/325?cb=20170704084250,Mobile throughout the universe,https://marvel.fandom.com/wiki/Pyreus_Kril_(Earth-616),https://marvel.fandom.com/wiki/Pyreus_Kril_(Earth-616)#Powers_and_Abilities
373,Yuriko Oyama,Lady Deathstrike,Yuriko Oyama,Female ,Single,Bad ,69,128.0,Brown ,Black,Heterosexual,"Osaka, Japan","Japanese,  ",Privately tutored,"Assassin, CEO of Oyama Heavy Industries",3,4,3,3,1,6,https://static.wikia.nocookie.net/marveldatabase/images/6/61/Death_of_Wolverine_The_Logan_Legacy_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140819215859,"formerly Cooterman's Creek, Australia",https://marvel.fandom.com/wiki/Yuriko_Oyama_(Earth-616),https://marvel.fandom.com/wiki/Yuriko_Oyama_(Earth-616)#Powers_and_Abilities
374,Elijah Bradley,Elijah Bradley,Elijah Bradley,Male ,Single,Good ,65,169.0,Brown ,Bald,Heterosexual,"New York City, New York",American,Some High School Education,"voter registration worker; former adventurer, high school student, public library employee",2,3,2,5,1,4,https://static.wikia.nocookie.net/marveldatabase/images/f/fc/Young_Avengers_Presents_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110303173159,Midwest; ,https://marvel.fandom.com/wiki/Elijah_Bradley_(Earth-616),https://marvel.fandom.com/wiki/Elijah_Bradley_(Earth-616)#Powers_and_Abilities
375,Frankie Raye,Nova,Frankie Raye,Female ,Single,Good ,64,130.0,Blue ,Red,Heterosexual,"New York City, New York",American,College graduate,"Adventurer; former herald of Galactus, translator",2,5,7,6,6,2,https://static.wikia.nocookie.net/marveldatabase/images/2/2a/Frankie_Raye_%28Earth-616%29_from_Fearless_Defenders_Vol_1_12_001.jpg/revision/latest/scale-to-width-down/350?cb=20131205002143,"Misty Knight's Safe House, New York City, New York",https://marvel.fandom.com/wiki/Frankie_Raye_(Earth-616),https://marvel.fandom.com/wiki/Frankie_Raye_(Earth-616)#Powers_and_Abilities
376,Jimaine Szardos,Amanda Sefton,Jimaine Szardos,Female ,Single,Good ,66,110.0,Blue ,Blond,Heterosexual,Unrevealed location in former West Germany,"German,  American",Homeschooled,Former Sorceress Supreme of Limbo; former circus artist and TWA flight attendant,3,2,9,4,5,3,https://static.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,formerly Limbo,https://marvel.fandom.com/wiki/Jimaine_Szardos_(Earth-616),https://marvel.fandom.com/wiki/Jimaine_Szardos_(Earth-616)#Powers_and_Abilities
377,Bethany Cabe,Bethany Cabe,Bethany Camilla Cabe van Tilburg,Female ,Widowed,Good ,67,125.0,Green ,Red,Heterosexual,"Newark, New Jersey",American,"Taught in hand-to-hand combat, fluent in German, handling firearms and flying","Bodyguard, Security Head, Adventurer",2,8,7,8,7,4,https://static.wikia.nocookie.net/marveldatabase/images/8/84/Bethany_Cabe_%28Earth-616%29_from_Tony_Stark_Iron_Man_Vol_1_2_002.jpg/revision/latest/scale-to-width-down/188?cb=20180724011350,"New York City, New York",https://marvel.fandom.com/wiki/Bethany_Cabe_(Earth-616),https://marvel.fandom.com/wiki/Bethany_Cabe_(Earth-616)#Powers_and_Abilities
378,Phillip Urich,Goblin King,"Phillip Benjamin ""Phil"" Urich",Male ,Single,Bad ,67,140.0,Green ,Brown,Heterosexual,"New York City, New York",American,Some College,"Criminal, Fugitive, crime lord; Former Journalism Intern at the Daily Bugle, Adventurer",2,6,5,7,8,2,https://static.wikia.nocookie.net/marveldatabase/images/f/f3/Phillip_Urich_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_17.1_001.png/revision/latest/scale-to-width-down/348?cb=20150421012451,"New York City, New York",https://marvel.fandom.com/wiki/Phillip_Urich_(Earth-616),https://marvel.fandom.com/wiki/Phillip_Urich_(Earth-616)#Powers_and_Abilities
379,Delroy Garrett Jr.,3-D Man,"Delroy Garrett, Jr.",Male ,Single,Good ,74,200.0,Brown ,Black,Heterosexual,"Philadelphia, Pennsylvania, USA",American,Homeschooled,"Adventurer; former Olympic athlete, motivational speaker, Initiative instructor-in-training",2,4,3,3,1,4,https://static.wikia.nocookie.net/marveldatabase/images/3/39/Delroy_Garrett_Jr._%28Earth-616%29_from_Avengers_World_Vol_1_15_0001.png/revision/latest/scale-to-width-down/297?cb=20141120041434,"Temple of Atlas, San Francisco, California",https://marvel.fandom.com/wiki/Delroy_Garrett_Jr._(Earth-616),https://marvel.fandom.com/wiki/Delroy_Garrett_Jr._(Earth-616)#Powers_and_Abilities
380,Anya Corazon,Spider-Girl,"Aña Sofia ""Anya"" Corazon",Female ,Single,Good ,63,115.0,Brown ,Brown,Heterosexual,"Fort Greene, Brooklyn, New York City",American,Current High School Student,High School Student,2,4,3,5,1,4,https://static.wikia.nocookie.net/marveldatabase/images/7/7c/Spider-Girl_Vol_2_1_Del_Mundo_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20120803063558,"New York City, New York",https://marvel.fandom.com/wiki/Anya_Corazon_(Earth-616),https://marvel.fandom.com/wiki/Anya_Corazon_(Earth-616)#Powers_and_Abilities
381,Victoria Hand,Victoria Hand,Victoria Louise Hand,Female ,Single,Neutral ,66,135.0,Hazel ,Black,Homosexual,United States of America,American,"S.H.I.E.L.D. training, presumably MBA in accounting","Currently serves as liaison and coordinator of the New AvengersFormerlyH.A.M.M.E.R triple agent, deputy director of H.A.M.M.E.R., assistant to Norman Osborn, S.H.I.E.L.D. business affairs operative ",4,2,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/9/94/Victoria_Hand_%28Earth-616%29_from_Marvel_War_of_Heroes_001.jpg/revision/latest/scale-to-width-down/280?cb=20160408015927,Avengers Mansion,https://marvel.fandom.com/wiki/Victoria_Hand_(Earth-616),https://marvel.fandom.com/wiki/Victoria_Hand_(Earth-616)#Powers_and_Abilities
382,Margaret Carter,The Dryad,"Dr. Margaret Alexandra ""Peggy"" Carter",Female ,Single,Good ,65,101.0,Blue ,White,Heterosexual,"Richmond, Virginia, USA",American,"S.H.I.E.L.D. training, MD","Former communications specialist, spy, resistance fighter",3,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/1/1b/Margaret_Carter_%28Earth-616%29_from_Women_of_Marvel_Vol_2_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20210528234231,"New York City, New York",https://marvel.fandom.com/wiki/Margaret_Carter_(Earth-616),https://marvel.fandom.com/wiki/Margaret_Carter_(Earth-616)#Powers_and_Abilities
383,Clay Quartermain,Clay Quartermain,Clay Quartermain,Male ,Single,Neutral,73,198.0,Blue ,Blond,Heterosexual,"Sleepy Gap, Kansas",American,"High school graduate, Air Force Academy, Level -8 S.H.I.E.L.D. training","S.H.I.E.L.D. agent; former bodyguard, big game hunter, soldier, others",3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/e/e7/Clay_Quartermain_%28Earth-616%29_from_World_War_Hulk_Gamma_Files_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/172?cb=20151026120124,"S.H.I.E.L.D. Helicarrier, Area 13, Pine Barrens, New Jersey",https://marvel.fandom.com/wiki/Clay_Quartermain_(Earth-616),https://marvel.fandom.com/wiki/Clay_Quartermain_(Earth-616)#Powers_and_Abilities
384,Ghost,Ghost,Unknown,Male ,Single,Neutral ,71,175.0,Blue ,Brown,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Adventurer; Former industrial saboteur, engineer, programmer",4,2,2,2,3,2,https://static.wikia.nocookie.net/marveldatabase/images/2/21/Ghost_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_16_001.jpg/revision/latest/scale-to-width-down/325?cb=20150312234729,The Cube,https://marvel.fandom.com/wiki/Ghost_(Earth-616),https://marvel.fandom.com/wiki/Ghost_(Earth-616)#Powers_and_Abilities
385,Jill Stacy,Jill Stacy,Jill Stacy,Female ,Single,Neutral ,69,135.0,Blue ,Black,Heterosexual,"Newark, New Jersey",American,College educated,Student at Empire State University,2,2,2,2,1,1,https://static.wikia.nocookie.net/marveldatabase/images/6/65/Jill_Stacy_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/244?cb=20100314192746,"New York City, New York",https://marvel.fandom.com/wiki/Jill_Stacy_(Earth-616),https://marvel.fandom.com/wiki/Jill_Stacy_(Earth-616)#Powers_and_Abilities
386,Abigail Brand,Abigail Brand,Abigail ,Female ,Single,Good ,68,140.0,Green ,Green,Heterosexual,"Newark, New Jersey",Krakoan,Homeschooled,"Adventurer, Station Commander, mutant fighter ; former Director of S.W.O.R.D., special agent",3,2,2,4,2,6,https://static.wikia.nocookie.net/marveldatabase/images/c/c6/Abigail_Brand_%28Earth-616%29_from_Empyre_Aftermath_Avengers_Vol_1_1_002.jpg/revision/latest/scale-to-width-down/325?cb=20210209015857,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Abigail_Brand_(Earth-616),https://marvel.fandom.com/wiki/Abigail_Brand_(Earth-616)#Powers_and_Abilities
387,Carlie Cooper,Carlie Cooper,Carlie Ellen Cooper,Female ,Single,Good ,68,134.0,Blue ,Brown,Heterosexual,"Jackson Heights, Queens, New York City",American,Homeschooled,"Forensic specialist; former adventurer, criminal, terrorist, vigilante",4,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/4/41/Carlie_Cooper_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_9_001.jpg/revision/latest/scale-to-width-down/319?cb=20181117174511,"New York City, New York",https://marvel.fandom.com/wiki/Carlie_Cooper_(Earth-616),https://marvel.fandom.com/wiki/Carlie_Cooper_(Earth-616)#Powers_and_Abilities
388,Paul Duval,Grey Gargoyle,Paul Pierre Duval,Male ,Single,Bad ,71,175.0,Blue ,Brown,Heterosexual,"Fontainebleu, France",French,PhD in chemistry,"Criminal, sculptorFormerlystarship captain, chemist, self-appointed God",3,4,2,5,1,2,https://static.wikia.nocookie.net/marveldatabase/images/c/c9/Thor_Vol_2_47_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20071017152614,"New York City, New York, USA, ",https://marvel.fandom.com/wiki/Paul_Duval_(Earth-616),https://marvel.fandom.com/wiki/Paul_Duval_(Earth-616)#Powers_and_Abilities
389,Blastaar,Blastaar,Blastaar,Male ,Widowed,Bad ,78,520.0,Grey ,Grey,Heterosexual,Baluur,Baluurian,Baluurian warrior training,"Monarch, Ruler of Baluur, a planet in the Negative Zone",2,6,3,6,4,4,https://static.wikia.nocookie.net/marveldatabase/images/9/93/Doctor_Strange_Vol_5_9_Fantastic_Four_Villains_Variant_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20210112080225,"Baluur, Sector 56-D of the Negative Zone",https://marvel.fandom.com/wiki/Blastaar_(Earth-616),https://marvel.fandom.com/wiki/Blastaar_(Earth-616)#Powers_and_Abilities
390,Jericho Drumm,Doctor Voodoo,Jericho Drumm,Male ,Single,Good ,72,220.0,Brown ,Brown,Heterosexual,"Port-au-Prince, Haiti",Haitian,"MD in Psychology, extensive training in vodu",Psychologist; Houngan ; former Sorcerer Supreme of his planet and likely reality,3,4,3,3,6,3,https://static.wikia.nocookie.net/marveldatabase/images/e/eb/Jericho_Drumm_%28Earth-616%29_from_Uncanny_Avengers_Vol_2_5_001.jpg/revision/latest/scale-to-width-down/273?cb=20150628015118,Mobile,https://marvel.fandom.com/wiki/Jericho_Drumm_(Earth-616),https://marvel.fandom.com/wiki/Jericho_Drumm_(Earth-616)#Powers_and_Abilities
391,Ruth Aldine,Blindfold,Ruth Aldine,Female ,Single,Good ,64,120.0,MultiColored,Black,Heterosexual,North Carolina,American,High School,Adventurer and student; former Worthington Industries board member,2,2,2,2,6,2,https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Ruth_Aldine_%28Earth-616%29_from_X-Men_Legacy_Vol_2_4_001.jpg/revision/latest/scale-to-width-down/125?cb=20210312200404,"New York City, New York",https://marvel.fandom.com/wiki/Ruth_Aldine_(Earth-616),https://marvel.fandom.com/wiki/Ruth_Aldine_(Earth-616)#Powers_and_Abilities
392,Azura,Thena,Thena ,Female ,Widowed,Good ,70,160.0,Blue ,Blond,Heterosexual,"Newark, New Jersey",Olympia,Studied under the greatest Eternal and human scholars throughout her long lifetime,"Scholar, warrior, adventurer; former weapons developer, Prime Eternal",4,4,12,7,6,6,https://static.wikia.nocookie.net/marveldatabase/images/2/24/Eternals_Vol_5_1_Cho_Variant_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20210504065948,"New York City, New York",https://marvel.fandom.com/wiki/Azura_(Earth-616),https://marvel.fandom.com/wiki/Azura_(Earth-616)#Powers_and_Abilities
